City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,youhao,47.8667,128.8333,12.16,96,100,1.65,CN,1686145346
164,lebu,-37.6167,-73.65,11.86,73,100,3.15,CL,1686145346
165,remire-montjoly,4.9167,-52.2667,29.02,74,75,2.06,GF,1686145347
166,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,81,75,2.0,RU,1686145312
167,mabaruma,8.2,-59.7833,27.3,88,88,2.0,GY,1686145347
168,chernyshevskiy,63.0128,112.4714,9.75,70,100,2.4,RU,1686145347
169,hasaki,35.7333,140.8333,20.12,73,100,1.85,JP,1686145347
170,carnarvon,-24.8667,113.6333,19.16,60,0,6.28,AU,1686145348
171,tolanaro,-25.0319,46.9987,25.04,88,40,6.17,MG,1686145348
172,arraial do cabo,-22.9661,-42.0278,22.98,73,0,1.54,BR,1686145348
173,kembe,4.6228,21.8865,29.12,59,100,1.17,CF,1686145348
174,tralee,52.2704,-9.7026,19.14,52,0,4.12,IE,1686145101
175,invercargill,-46.4,168.35,3.16,93,79,2.02,NZ,1686145349
176,sabang,5.8933,95.3214,28.77,77,78,8.27,ID,1686145349
177,namibe,-15.1961,12.1522,22.1,65,6,7.09,AO,1686145349
178,sungai penuh,-2.0833,101.3833,19.22,98,100,0.55,ID,1686145349
179,elliot lake,46.3834,-82.6331,14.77,39,0,5.69,CA,1686145349
180,sajir,25.1825,44.5996,39.26,10,54,4.05,SA,1686145350
181,weno,7.4515,151.8468,26.97,89,100,2.06,FM,1686145350
182,vila franca do campo,37.7167,-25.4333,20.23,77,49,8.45,PT,1686145350
183,jamestown,42.097,-79.2353,16.68,69,100,3.09,US,1686145229
184,paola,39.3599,16.0396,22.62,71,100,1.25,IT,1686145350
185,waiuku,-37.25,174.75,11.29,77,0,2.07,NZ,1686145351
186,east london,-33.0153,27.9116,25.52,36,0,3.09,ZA,1686145351
187,kitahiroshima,42.9758,141.5672,13.01,30,83,2.18,JP,1686145351
188,aykhal,66.0,111.5,7.4,87,100,3.28,RU,1686145351
189,hithadhoo,-0.6,73.0833,28.05,73,73,1.84,MV,1686145351
190,sao gabriel da cachoeira,-0.1303,-67.0892,25.89,94,20,2.06,BR,1686145352
191,guaruja,-23.9931,-46.2564,21.92,73,0,1.66,BR,1686145182
192,kanungu,-0.9575,29.7897,21.75,74,86,1.95,UG,1686145352
193,belyy yar,53.6039,91.3903,32.94,25,0,4.0,RU,1686145352
194,'ain benian,36.8028,2.9219,23.03,75,100,2.58,DZ,1686145352
195,nadi,-17.8,177.4167,21.0,83,100,3.6,FJ,1686145353
196,portland,45.5234,-122.6762,16.6,73,33,2.68,US,1686145145
197,yangambi,0.8102,24.4336,29.09,59,98,0.85,CD,1686145353
198,abu jibeha,11.4562,31.2285,30.81,44,93,3.38,SD,1686145353
199,ierapetra,35.01,25.7353,26.75,56,99,2.68,GR,1686145354
200,guasdualito,7.2424,-70.7324,27.0,83,70,0.51,VE,1686145354
201,krutinka,56.0055,71.5113,23.29,48,100,8.6,RU,1686145354
202,nikolayevsk-on-amure,53.1406,140.73,8.42,90,9,1.87,RU,1686145354
203,dalandzadgad,43.5708,104.425,20.34,27,0,3.16,MN,1686145355
204,buka,40.8108,69.1986,34.05,13,1,0.45,UZ,1686145355
205,nerja,36.7585,-3.8873,24.01,83,100,1.34,ES,1686145355
206,inhambane,-23.865,35.3833,26.99,65,20,7.2,MZ,1686145355
207,pisco,-13.7,-76.2167,20.03,77,100,2.06,PE,1686145355
208,la ronge,55.1001,-105.2842,16.14,67,0,1.03,CA,1686145356
209,kununurra,-15.7667,128.7333,20.99,78,47,0.0,AU,1686145356
210,san antonio de pale,-1.4014,5.6325,25.38,76,99,5.76,GQ,1686145356
211,al bardiyah,31.7561,25.0865,22.7,74,100,5.55,LY,1686145356
212,fiambala,-27.6871,-67.6149,18.5,42,22,1.23,AR,1686145356
213,ketchikan,55.3422,-131.6461,9.99,87,0,2.06,US,1686145357
214,vadso,70.0744,29.7487,8.09,66,20,4.12,NO,1686145357
215,nuuk,64.1835,-51.7216,0.34,74,75,5.14,GL,1686145357
216,stettler,52.3168,-112.7186,14.86,58,4,4.63,CA,1686145357
217,kill devil hills,36.0307,-75.676,22.77,68,40,3.6,US,1686145268
218,negombo,7.2083,79.8358,29.03,79,40,3.6,LK,1686145358
219,i-n-salah,27.1935,2.4607,41.0,11,13,7.85,DZ,1686145358
220,tual,-5.6667,132.75,27.5,85,96,5.23,ID,1686145358
221,kalmunai,7.4167,81.8167,30.09,71,58,0.7,LK,1686145358
222,tamiahua,21.2667,-97.45,27.66,72,1,1.58,MX,1686145358
223,kargil,34.5667,76.1,10.99,39,58,2.55,IN,1686145359
224,cox's bazar,21.4532,91.9798,26.23,86,100,2.29,BD,1686145359
225,tura,25.5198,90.2201,29.78,48,93,1.49,IN,1686145359
226,corner brook,48.9667,-57.9484,9.09,98,100,2.29,CA,1686145173
227,la paz,-16.5,-68.15,11.43,24,0,2.57,BO,1686145348
228,barobo,8.5353,126.1214,24.49,98,100,1.21,PH,1686145360
229,selibaby,15.159,-12.1829,43.84,9,12,3.48,MR,1686145360
230,liepaja,56.5419,21.0367,21.99,35,0,3.6,LV,1686145360
231,hakui,36.8833,136.7833,20.12,90,68,1.08,JP,1686145360
232,altai,46.3722,96.2583,17.57,30,1,1.38,MN,1686145361
233,alaghsas,17.0187,8.0168,41.65,7,1,2.69,NE,1686145362
234,vodnyy,63.5046,53.4095,9.15,44,97,3.84,RU,1686145362
235,el charco,2.4769,-78.1105,27.3,81,17,1.81,CO,1686145362
236,swakopmund,-22.6833,14.5333,21.47,77,0,1.34,NA,1686145362
237,saint-joseph,-21.3667,55.6167,24.21,81,39,4.78,RE,1686145363
